Id,ProductId,ProductRefId,IsActive,Name,RefId,ImageUrl,PackagedHeight,PackagedLength,PackagedWidth,PackagedWeightKg,Height,Length,Width,WeightKg,CubicWeight,IsKit,CreationDate,RewardValue,EstimatedDateArrival,ManufacturerCode,CommercialConditionId,MeasurementUnit,UnitMultiplier,ModalType,KitItensSellApart,ActivateIfPossible,EAN
,,P000206871,false,Color GREEN TEA Size Lg,94124836,https://images.beallsflorida.com/i/beallsflorida/457-1007-3332-31-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,1212121
,,P000214882,false,Color WHITE Size X-Lg,95397041,https://images.beallsflorida.com/i/beallsflorida/457-4896-2034-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000209035,false,Color AQUA BLUE Size Lg,96213270,https://images.beallsflorida.com/i/beallsflorida/455-5688-5078-46-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000144685,false,Color TAHOE BLUE Size 34W 29L,81683779,https://images.beallsflorida.com/i/beallsflorida/479-2296-1010-98-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,3434343
,,P000206888,false,Color AQUA PORPOISE BLUE Size Lg,94125192,https://images.beallsflorida.com/i/beallsflorida/457-1007-3401-46-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000209035,false,Color AQUA BLUE Size XX-Lg,96213294,https://images.beallsflorida.com/i/beallsflorida/455-5688-5078-46-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000215608,false,Color INTENSE BLUE Size 38W 32L,95938467,https://images.beallsflorida.com/i/beallsflorida/467-1461-9167-96-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,7878787
,,P000121246,false,Color BLACK Size 12,80579505,https://images.beallsflorida.com/i/beallsflorida/136-5114-1219-01-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000210800,false,Color NEUTRAL GRAY Size 16,94339934,https://images.beallsflorida.com/i/beallsflorida/109-9274-5406-04-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000221027,false,Color WHITE MULTI Size Lg,94884155,https://images.beallsflorida.com/i/beallsflorida/234-4029-7397-19-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,5656565
,,P000217675,false,Color WHITE Size 12,96172908,https://images.beallsflorida.com/i/beallsflorida/117-0352-5145-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000222473,false,Color MAGENTA Size Lg,96601179,https://images.beallsflorida.com/i/beallsflorida/229-4712-2646-56-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000039567,false,Color FOSSIL BEIGE Size X-Lg,56361110,https://images.beallsflorida.com/i/beallsflorida/472-0159-7047-24-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000214496,false,Color MEDIUM WASH Size 12,95936227,https://images.beallsflorida.com/i/beallsflorida/111-6493-7804-97-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000225037,false,Color CREAM Size X-Sm,95591410,https://images.beallsflorida.com/i/beallsflorida/234-6040-6577-12-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000215608,false,Color INTENSE BLUE Size 34W 34L,95938416,https://images.beallsflorida.com/i/beallsflorida/467-1461-9167-96-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000201193,false,Color TAUPE BRINDLE BEIGE Size X-Lg,94114344,https://images.beallsflorida.com/i/beallsflorida/457-1007-3341-23-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000224585,false,Color BEIGE CAMO Size 16,96049334,https://images.beallsflorida.com/i/beallsflorida/113-6221-4214-91-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000219713,false,Color RED Size 8,96405104,https://images.beallsflorida.com/i/beallsflorida/113-9153-2138-60-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000223567,false,Color CREAMSICLE ORANGE Size X Large,95946245,https://images.beallsflorida.com/i/beallsflorida/127-5002-8527-80-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000213853,false,Color BLUE RADIANCE Size 10,93952419,https://images.beallsflorida.com/i/beallsflorida/112-6420-2658-49-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000154461,false,Color BUTTERFLY GREEN Size Md,88802189,https://images.beallsflorida.com/i/beallsflorida/473-6413-9366-34-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000184683,false,Color SUGAR CORAL Size 12,91271077,https://images.beallsflorida.com/i/beallsflorida/124-6420-5002-85-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
,,P000203891,false,Color WHITE Size 8,94426561,https://images.beallsflorida.com/i/beallsflorida/210-7171-6773-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true,
